hhid,totalvehs,homelga,weekly_hhinc_group,annual_hhinc_group
Y24H5860105,4,Frankston (C),17,17
Y24H5860107,1,Frankston (C),6,6
Y24H5860112,0,Frankston (C),1,1
Y24H5860113,1,Frankston (C),7,7
Y24H5860117,1,Frankston (C),12,12
Y24H5860118,5,Frankston (C),15,15
Y24H5860121,2,Frankston (C),3,3
Y24H5860122,3,Frankston (C),9,9
Y24H5860123,2,Frankston (C),12,12
Y24H5860126,2,Frankston (C),12,12
Y24H5860127,1,Frankston (C),15,15
Y24H5860132,1,Frankston (C),10,10
Y24H5860135,2,Frankston (C),16,16
Y24H5860141,3,Frankston (C),5,5
Y24H5860142,1,Frankston (C),8,8
Y24H5860203,1,Yarra Ranges (S),2,2
Y24H5860208,1,Yarra Ranges (S),4,4
Y24H5860211,1,Yarra Ranges (S),1,1
Y24H5860212,2,Yarra Ranges (S),12,12
Y24H5860213,0,Yarra Ranges (S),3,3
Y24H5860214,1,Yarra Ranges (S),2,2
Y24H5860215,1,Yarra Ranges (S),6,6
Y24H5860217,0,Yarra Ranges (S),8,8
Y24H5860218,1,Yarra Ranges (S),9,9
Y24H5860219,1,Yarra Ranges (S),1,1
Y24H5860220,1,Yarra Ranges (S),6,6
Y24H5860221,1,Yarra Ranges (S),4,4
Y24H5860223,2,Yarra Ranges (S),12,12
Y24H5860230,1,Yarra Ranges (S),9,9
Y24H5860233,1,Yarra Ranges (S),12,12
Y24H5860234,1,Yarra Ranges (S),3,3
Y24H5860239,2,Yarra Ranges (S),1,1
Y24H5860301,1,Maribyrnong (C),7,7
Y24H5860303,1,Maribyrnong (C),7,7
Y24H5860304,1,Maribyrnong (C),7,7
Y24H5860311,1,Maribyrnong (C),8,8
Y24H5860315,1,Maribyrnong (C),7,7
Y24H5860316,1,Maribyrnong (C),7,7
Y24H5860319,2,Maribyrnong (C),15,15
Y24H5860323,1,Maribyrnong (C),7,7
Y24H5860325,1,Maribyrnong (C),9,9
Y24H5860326,1,Maribyrnong (C),11,11
Y24H5860327,2,Maribyrnong (C),15,15
Y24H5860330,2,Maribyrnong (C),9,9
Y24H5860333,1,Maribyrnong (C),16,16
Y24H5860334,1,Maribyrnong (C),9,9
Y24H5860336,1,Maribyrnong (C),11,11
Y24H5860337,3,Maribyrnong (C),12,12
Y24H5860339,0,Maribyrnong (C),8,8
Y24H5860342,1,Maribyrnong (C),12,12
Y24H5860401,1,Merri-bek (C),14,14
Y24H5860406,2,Merri-bek (C),14,14
Y24H5860407,2,Merri-bek (C),15,15
Y24H5860413,3,Merri-bek (C),15,15
Y24H5860415,6,Merri-bek (C),15,15
Y24H5860420,2,Merri-bek (C),10,10
Y24H5860421,0,Merri-bek (C),12,12
Y24H5860425,0,Merri-bek (C),12,12
Y24H5860432,1,Merri-bek (C),6,6
Y24H5860434,0,Merri-bek (C),10,10
Y24H5860438,0,Merri-bek (C),9,9
Y24H5860439,1,Merri-bek (C),14,14
Y24H5860441,1,Merri-bek (C),12,12
Y24H5870102,3,Greater Dandenong (C),5,5
Y24H5870105,2,Greater Dandenong (C),8,8
Y24H5870108,3,Greater Dandenong (C),12,12
Y24H5870111,2,Greater Dandenong (C),18,18
Y24H5870112,1,Greater Dandenong (C),9,9
Y24H5870113,2,Greater Dandenong (C),14,14
Y24H5870115,3,Greater Dandenong (C),12,12
Y24H5870116,2,Greater Dandenong (C),14,14
Y24H5870122,2,Kingston (C),15,15
Y24H5870124,2,Kingston (C),7,7
Y24H5870126,1,Kingston (C),3,3
Y24H5870128,2,Kingston (C),9,9
Y24H5870131,1,Kingston (C),4,4
Y24H5870133,1,Kingston (C),2,2
Y24H5870134,1,Kingston (C),12,12
Y24H5870140,2,Kingston (C),8,8
Y24H5870141,1,Kingston (C),7,7
Y24H5870302,2,Boroondara (C),10,10
Y24H5870303,2,Boroondara (C),14,14
Y24H5870304,2,Boroondara (C),14,14
Y24H5870306,1,Boroondara (C),6,6
Y24H5870308,2,Boroondara (C),7,7
Y24H5870310,1,Boroondara (C),3,3
Y24H5870311,1,Boroondara (C),12,12
Y24H5870313,2,Boroondara (C),11,11
Y24H5870314,2,Boroondara (C),4,4
Y24H5870315,1,Boroondara (C),8,8
Y24H5870316,2,Boroondara (C),16,16
Y24H5870318,1,Boroondara (C),5,5
Y24H5870323,2,Boroondara (C),16,16
Y24H5870324,2,Boroondara (C),9,9
Y24H5870329,2,Boroondara (C),9,9
Y24H5870336,2,Boroondara (C),13,13
Y24H5870338,2,Boroondara (C),13,13
Y24H5870339,1,Boroondara (C),8,8
Y24H5870341,1,Boroondara (C),14,14
Y24H5870401,1,Darebin (C),8,8
Y24H5870402,1,Darebin (C),10,10
Y24H5870405,1,Darebin (C),12,12
Y24H5870407,1,Darebin (C),6,6
Y24H5870408,2,Darebin (C),11,11
Y24H5870409,4,Darebin (C),8,8
Y24H5870411,1,Darebin (C),5,5
Y24H5870412,3,Darebin (C),16,16
Y24H5870413,3,Darebin (C),14,14
Y24H5870414,2,Darebin (C),10,10
Y24H5870415,0,Darebin (C),4,4
Y24H5870417,3,Darebin (C),14,14
Y24H5870418,1,Darebin (C),9,9
Y24H5870422,2,Darebin (C),13,13
Y24H5870426,1,Darebin (C),13,13
Y24H5870427,1,Darebin (C),14,14
Y24H5870428,1,Darebin (C),5,5
Y24H5870430,0,Darebin (C),12,12
Y24H5870432,1,Darebin (C),12,12
Y24H5870436,1,Darebin (C),10,10
Y24H5870442,2,Darebin (C),13,13
Y24H5870502,1,Wyndham (C),3,3
Y24H5870504,1,Wyndham (C),8,8
Y24H5870507,1,Wyndham (C),8,8
Y24H5870510,1,Wyndham (C),12,12
Y24H5870516,1,Wyndham (C),8,8
Y24H5870517,1,Wyndham (C),8,8
Y24H5870518,0,Wyndham (C),5,5
Y24H5870522,2,Wyndham (C),7,7
Y24H5870524,0,Wyndham (C),12,12
Y24H5870525,1,Wyndham (C),6,6
Y24H5870528,1,Wyndham (C),15,15
Y24H5870531,2,Wyndham (C),14,14
Y24H5870537,2,Wyndham (C),7,7
Y24H5880103,1,Cardinia (S),8,8
Y24H5880104,2,Cardinia (S),11,11
Y24H5880107,1,Cardinia (S),6,6
Y24H5880112,1,Cardinia (S),14,14
Y24H5880114,2,Cardinia (S),11,11
Y24H5880115,1,Cardinia (S),8,8
Y24H5880116,2,Cardinia (S),12,12
Y24H5880117,2,Cardinia (S),17,17
Y24H5880118,1,Cardinia (S),8,8
Y24H5880123,1,Cardinia (S),9,9
Y24H5880124,1,Cardinia (S),1,1
Y24H5880131,3,Cardinia (S),10,10
Y24H5880142,2,Cardinia (S),10,10
Y24H5880201,1,Yarra Ranges (S),6,6
Y24H5880202,1,Yarra Ranges (S),15,15
Y24H5880204,2,Yarra Ranges (S),16,16
Y24H5880205,2,Yarra Ranges (S),13,13
Y24H5880206,3,Yarra Ranges (S),6,6
Y24H5880207,1,Yarra Ranges (S),4,4
Y24H5880208,0,Yarra Ranges (S),4,4
Y24H5880209,1,Yarra Ranges (S),6,6
Y24H5880210,2,Yarra Ranges (S),6,6
Y24H5880212,3,Yarra Ranges (S),5,5
Y24H5880213,2,Yarra Ranges (S),10,10
Y24H5880214,0,Yarra Ranges (S),8,8
Y24H5880216,1,Yarra Ranges (S),1,1
Y24H5880218,1,Yarra Ranges (S),5,5
Y24H5880219,1,Yarra Ranges (S),16,16
Y24H5880220,2,Yarra Ranges (S),13,13
Y24H5880221,2,Yarra Ranges (S),16,16
Y24H5880222,3,Yarra Ranges (S),12,12
Y24H5880223,2,Yarra Ranges (S),11,11
Y24H5880224,1,Yarra Ranges (S),10,10
Y24H5880225,2,Yarra Ranges (S),13,13
Y24H5880232,2,Yarra Ranges (S),12,12
Y24H5880233,1,Yarra Ranges (S),13,13
Y24H5880234,1,Yarra Ranges (S),6,6
Y24H5880235,3,Yarra Ranges (S),17,17
Y24H5880237,1,Yarra Ranges (S),6,6
Y24H5880239,3,Yarra Ranges (S),12,12
Y24H5880504,2,Hobsons Bay (C),8,8
Y24H5880509,2,Hobsons Bay (C),17,17
Y24H5880511,1,Hobsons Bay (C),6,6
Y24H5880512,2,Hobsons Bay (C),17,17
Y24H5880516,1,Hobsons Bay (C),5,5
Y24H5880517,3,Hobsons Bay (C),12,12
Y24H5880518,2,Hobsons Bay (C),14,14
Y24H5880520,2,Hobsons Bay (C),17,17
Y24H5880521,1,Hobsons Bay (C),6,6
Y24H5880522,1,Hobsons Bay (C),16,16
Y24H5880523,2,Hobsons Bay (C),12,12
Y24H5880526,3,Hobsons Bay (C),9,9
Y24H5880532,2,Hobsons Bay (C),18,18
Y24H5880534,2,Hobsons Bay (C),5,5
Y24H5880535,2,Hobsons Bay (C),18,18
Y24H5880537,2,Hobsons Bay (C),14,14
Y24H5880540,10,Hobsons Bay (C),14,14
Y24H5880541,2,Hobsons Bay (C),18,18
Y24H5890102,1,Mornington Peninsula (S),8,8
Y24H5890104,1,Mornington Peninsula (S),6,6
Y24H5890105,1,Mornington Peninsula (S),6,6
Y24H5890106,3,Mornington Peninsula (S),16,16
Y24H5890107,1,Mornington Peninsula (S),4,4
Y24H5890109,2,Mornington Peninsula (S),12,12
Y24H5890113,1,Mornington Peninsula (S),10,10
Y24H5890114,1,Mornington Peninsula (S),13,13
Y24H5890118,3,Mornington Peninsula (S),14,14
Y24H5890121,1,Mornington Peninsula (S),8,8
Y24H5890122,3,Mornington Peninsula (S),14,14
Y24H5890126,1,Mornington Peninsula (S),6,6
Y24H5890127,1,Mornington Peninsula (S),18,18
Y24H5890129,3,Mornington Peninsula (S),12,12
Y24H5890132,2,Mornington Peninsula (S),8,8
Y24H5890133,3,Mornington Peninsula (S),18,18
Y24H5890137,0,Mornington Peninsula (S),1,1
Y24H5890138,1,Mornington Peninsula (S),15,15
Y24H5890142,1,Mornington Peninsula (S),7,7
Y24H5890201,1,Monash (C),7,7
Y24H5890202,2,Monash (C),8,8
Y24H5890203,2,Monash (C),4,4
Y24H5890204,1,Monash (C),13,13
Y24H5890208,2,Monash (C),18,18
Y24H5890214,1,Monash (C),2,2
Y24H5890216,1,Monash (C),13,13
Y24H5890217,5,Monash (C),15,15
Y24H5890223,2,Monash (C),17,17
Y24H5890224,4,Monash (C),17,17
Y24H5890226,1,Monash (C),12,12
Y24H5890230,2,Monash (C),5,5
Y24H5890232,1,Monash (C),11,11
Y24H5890237,3,Monash (C),3,3
Y24H5890312,0,Port Phillip (C),12,12
Y24H5890313,2,Port Phillip (C),14,14
Y24H5890317,1,Port Phillip (C),10,10
Y24H5890322,2,Port Phillip (C),18,18
Y24H5890327,1,Port Phillip (C),7,7
Y24H5890336,1,Port Phillip (C),7,7
Y24H5890501,2,Melton (S),11,11
Y24H5890504,2,Melton (S),8,8
Y24H5890512,2,Melton (S),9,9
Y24H5890515,2,Melton (S),4,4
Y24H5890516,4,Melton (S),8,8
Y24H5890519,1,Melton (S),7,7
Y24H5890521,9,Melton (S),10,10
Y24H5890524,1,Wyndham (C),11,11
Y24H5890527,1,Wyndham (C),13,13
Y24H5890528,2,Wyndham (C),7,7
Y24H5890530,2,Wyndham (C),7,7
Y24H5890531,3,Wyndham (C),14,14
Y24H5890532,1,Wyndham (C),13,13
Y24H5890533,3,Wyndham (C),11,11
Y24H5890536,2,Wyndham (C),13,13
Y24H5890541,2,Wyndham (C),12,12
Y24H5890542,2,Wyndham (C),10,10
Y24H5900201,2,Whitehorse (C),10,10
Y24H5900203,3,Whitehorse (C),9,9
Y24H5900204,2,Whitehorse (C),6,6
Y24H5900208,3,Whitehorse (C),17,17
Y24H5900209,4,Whitehorse (C),9,9
Y24H5900210,2,Whitehorse (C),14,14
Y24H5900212,3,Whitehorse (C),13,13
Y24H5900213,1,Whitehorse (C),10,10
Y24H5900215,5,Whitehorse (C),17,17
Y24H5900216,2,Whitehorse (C),6,6
Y24H5900217,2,Whitehorse (C),14,14
Y24H5900219,2,Whitehorse (C),11,11
Y24H5900221,3,Whitehorse (C),12,12
Y24H5900222,1,Whitehorse (C),14,14
Y24H5900223,0,Whitehorse (C),7,7
Y24H5900224,2,Whitehorse (C),5,5
Y24H5900226,1,Whitehorse (C),6,6
Y24H5900232,2,Whitehorse (C),12,12
Y24H5900234,3,Whitehorse (C),16,16
Y24H5900237,3,Whitehorse (C),11,11
Y24H5900238,3,Whitehorse (C),14,14
Y24H5900240,1,Whitehorse (C),4,4
Y24H5900242,2,Whitehorse (C),18,18
Y24H5900302,2,Port Phillip (C),8,8
Y24H5900306,2,Port Phillip (C),14,14
Y24H5900308,2,Port Phillip (C),7,7
Y24H5900315,1,Port Phillip (C),15,15
Y24H5900320,1,Port Phillip (C),1,1
Y24H5900321,1,Port Phillip (C),7,7
Y24H5900322,1,Port Phillip (C),8,8
Y24H5900323,3,Port Phillip (C),18,18
Y24H5900328,1,Port Phillip (C),2,2
Y24H5900330,1,Port Phillip (C),7,7
Y24H5900341,1,Port Phillip (C),6,6
Y24H5900342,2,Port Phillip (C),14,14
Y24H5900409,1,Hume (C),7,7
Y24H5900411,2,Hume (C),1,1
Y24H5900414,3,Hume (C),12,12
Y24H5900416,1,Hume (C),6,6
Y24H5900418,1,Hume (C),10,10
Y24H5900420,1,Hume (C),5,5
Y24H5900421,3,Hume (C),12,12
Y24H5900424,1,Hume (C),8,8
Y24H5910103,2,Casey (C),12,12
Y24H5910105,2,Casey (C),11,11
Y24H5910107,4,Casey (C),14,14
Y24H5910109,2,Casey (C),14,14
Y24H5910110,3,Casey (C),13,13
Y24H5910114,2,Casey (C),15,15
Y24H5910115,1,Casey (C),6,6
Y24H5910116,2,Casey (C),12,12
Y24H5910120,2,Casey (C),13,13
Y24H5910123,1,Casey (C),6,6
Y24H5910124,1,Casey (C),4,4
Y24H5910125,1,Casey (C),12,12
Y24H5910126,1,Casey (C),1,1
Y24H5910127,1,Casey (C),6,6
Y24H5910129,1,Casey (C),3,3
Y24H5910130,1,Casey (C),8,8
Y24H5910131,1,Casey (C),3,3
Y24H5910133,1,Casey (C),4,4
Y24H5910134,1,Casey (C),4,4
Y24H5910135,2,Casey (C),5,5
Y24H5910138,1,Casey (C),3,3
Y24H5910142,1,Casey (C),4,4
Y24H5910301,2,Stonnington (C),18,18
Y24H5910302,2,Stonnington (C),18,18
Y24H5910307,1,Stonnington (C),18,18
Y24H5910312,2,Stonnington (C),17,17
Y24H5910316,0,Stonnington (C),4,4
Y24H5910320,1,Stonnington (C),12,12
Y24H5910321,1,Stonnington (C),17,17
Y24H5910323,1,Stonnington (C),8,8
Y24H5910325,0,Stonnington (C),3,3
Y24H5910327,2,Stonnington (C),14,14
Y24H5910328,1,Stonnington (C),7,7
Y24H5910331,3,Stonnington (C),18,18
Y24H5910335,2,Stonnington (C),17,17
Y24H5910336,1,Stonnington (C),0,0
Y24H5910338,1,Stonnington (C),14,14
Y24H5910340,2,Stonnington (C),13,13
Y24H5910341,0,Stonnington (C),9,9
Y24H5910342,3,Stonnington (C),9,9
Y24H5910401,1,Darebin (C),12,12
Y24H5910403,2,Darebin (C),14,14
Y24H5910404,1,Darebin (C),8,8
Y24H5910405,2,Darebin (C),12,12
Y24H5910406,3,Darebin (C),16,16
Y24H5910410,1,Darebin (C),12,12
Y24H5910411,2,Darebin (C),17,17
Y24H5910412,3,Darebin (C),15,15
Y24H5910413,1,Darebin (C),10,10
Y24H5910418,2,Darebin (C),11,11
Y24H5910421,2,Darebin (C),15,15
Y24H5910424,0,Darebin (C),2,2
Y24H5910429,1,Darebin (C),12,12
Y24H5910430,2,Darebin (C),5,5
Y24H5910432,3,Darebin (C),12,12
Y24H5910435,1,Darebin (C),3,3
Y24H5910437,2,Darebin (C),9,9
Y24H5910440,1,Darebin (C),8,8
Y24H5910504,1,Melton (S),12,12
Y24H5910509,1,Melton (S),15,15
Y24H5910515,2,Melton (S),1,1
Y24H5910520,3,Melton (S),13,13
Y24H5910523,2,Melton (S),18,18
Y24H5910525,3,Melton (S),17,17
Y24H5910528,5,Melton (S),12,12
Y24H5910529,3,Melton (S),15,15
Y24H5910533,2,Melton (S),11,11
Y24H5910535,2,Melton (S),13,13
Y24H5910537,1,Melton (S),2,2
Y24H5920202,2,Greater Dandenong (C),8,8
Y24H5920206,0,Greater Dandenong (C),3,3
Y24H5920207,2,Greater Dandenong (C),0,0
Y24H5920208,2,Greater Dandenong (C),11,11
Y24H5920211,1,Greater Dandenong (C),5,5
Y24H5920212,2,Greater Dandenong (C),7,7
Y24H5920214,2,Greater Dandenong (C),12,12
Y24H5920222,2,Greater Dandenong (C),3,3
Y24H5920228,1,Greater Dandenong (C),4,4
Y24H5920230,1,Greater Dandenong (C),4,4
Y24H5920231,1,Greater Dandenong (C),1,1
Y24H5920232,1,Greater Dandenong (C),7,7
Y24H5920233,1,Greater Dandenong (C),3,3
Y24H5920234,0,Greater Dandenong (C),9,9
Y24H5920236,0,Greater Dandenong (C),2,2
Y24H5920238,1,Greater Dandenong (C),2,2
Y24H5920239,1,Greater Dandenong (C),4,4
Y24H5920240,0,Greater Dandenong (C),5,5
Y24H5920301,1,Boroondara (C),12,12
Y24H5920304,3,Boroondara (C),7,7
Y24H5920305,2,Boroondara (C),11,11
Y24H5920307,2,Boroondara (C),12,12
Y24H5920308,2,Boroondara (C),8,8
Y24H5920309,1,Boroondara (C),4,4
Y24H5920311,1,Boroondara (C),1,1
Y24H5920312,1,Boroondara (C),16,16
Y24H5920314,2,Boroondara (C),13,13
Y24H5920316,1,Boroondara (C),8,8
Y24H5920317,1,Boroondara (C),12,12
Y24H5920318,1,Boroondara (C),12,12
Y24H5920320,2,Boroondara (C),8,8
Y24H5920323,1,Stonnington (C),14,14
Y24H5920329,1,Stonnington (C),8,8
Y24H5920333,1,Stonnington (C),7,7
Y24H5920336,1,Stonnington (C),5,5
Y24H5920339,1,Stonnington (C),7,7
Y24H5920342,1,Stonnington (C),8,8
Y24H5920402,1,Whittlesea (C),3,3
Y24H5920403,3,Whittlesea (C),16,16
Y24H5920405,1,Whittlesea (C),6,6
Y24H5920406,2,Whittlesea (C),16,16
Y24H5920407,1,Whittlesea (C),6,6
Y24H5920409,3,Whittlesea (C),1,1
Y24H5920414,2,Whittlesea (C),14,14
Y24H5920415,2,Whittlesea (C),11,11
Y24H5920422,3,Whittlesea (C),11,11
Y24H5920431,2,Whittlesea (C),17,17
Y24H5920432,1,Whittlesea (C),3,3
Y24H5920436,1,Whittlesea (C),13,13
Y24H5930104,2,Kingston (C),12,12
Y24H5930108,1,Kingston (C),12,12
Y24H5930114,2,Kingston (C),8,8
Y24H5930119,1,Kingston (C),4,4
Y24H5930123,1,Kingston (C),17,17
Y24H5930124,2,Kingston (C),15,15
Y24H5930125,1,Kingston (C),8,8
Y24H5930130,1,Kingston (C),6,6
Y24H5930132,1,Kingston (C),5,5
Y24H5930133,3,Kingston (C),11,11
Y24H5930139,3,Kingston (C),18,18
Y24H5930302,1,Moonee Valley (C),3,3
Y24H5930303,0,Moonee Valley (C),8,8
Y24H5930307,2,Moonee Valley (C),17,17
Y24H5930312,0,Moonee Valley (C),10,10
Y24H5930313,1,Moonee Valley (C),13,13
Y24H5930316,1,Moonee Valley (C),2,2
Y24H5930319,2,Moonee Valley (C),14,14
Y24H5930320,2,Moonee Valley (C),6,6
Y24H5930326,1,Merri-bek (C),10,10
Y24H5930332,1,Merri-bek (C),3,3
Y24H5930333,1,Merri-bek (C),9,9
Y24H5930402,2,Whittlesea (C),14,14
Y24H5930403,4,Whittlesea (C),9,9
Y24H5930404,1,Whittlesea (C),10,10
Y24H5930413,2,Whittlesea (C),13,13
Y24H5930414,2,Whittlesea (C),14,14
Y24H5930416,2,Whittlesea (C),10,10
Y24H5930418,2,Whittlesea (C),7,7
Y24H5930420,3,Whittlesea (C),14,14
Y24H5930422,2,Whittlesea (C),14,14
Y24H5930423,3,Whittlesea (C),6,6
Y24H5930427,1,Whittlesea (C),4,4
Y24H5930428,1,Whittlesea (C),14,14
Y24H5930429,1,Whittlesea (C),8,8
Y24H5930434,2,Whittlesea (C),15,15
Y24H5930438,2,Whittlesea (C),17,17
Y24H5930440,2,Whittlesea (C),12,12
Y24H5930441,1,Whittlesea (C),12,12
Y24H5930502,2,Brimbank (C),6,6
Y24H5930503,2,Brimbank (C),18,18
Y24H5930504,1,Brimbank (C),1,1
Y24H5930508,1,Brimbank (C),8,8
Y24H5930509,1,Brimbank (C),11,11
Y24H5930512,1,Brimbank (C),5,5
Y24H5930513,2,Brimbank (C),14,14
Y24H5930515,2,Brimbank (C),10,10
Y24H5930516,2,Brimbank (C),14,14
Y24H5930517,0,Brimbank (C),4,4
Y24H5930523,2,Brimbank (C),8,8
Y24H5930526,2,Brimbank (C),7,7
Y24H5930527,2,Brimbank (C),16,16
Y24H5930530,1,Brimbank (C),15,15
Y24H5930533,1,Brimbank (C),15,15
Y24H5930534,2,Brimbank (C),14,14
Y24H5930538,1,Brimbank (C),1,1
Y24H5930540,1,Brimbank (C),11,11
Y24H5940101,1,Frankston (C),2,2
Y24H5940104,1,Frankston (C),5,5
Y24H5940106,2,Frankston (C),12,12
Y24H5940111,2,Frankston (C),9,9
Y24H5940112,2,Frankston (C),11,11
Y24H5940113,0,Frankston (C),8,8
Y24H5940115,1,Frankston (C),12,12
Y24H5940116,2,Frankston (C),14,14
Y24H5940120,2,Frankston (C),3,3
Y24H5940121,2,Frankston (C),13,13
Y24H5940122,1,Frankston (C),3,3
Y24H5940126,3,Frankston (C),9,9
Y24H5940128,2,Frankston (C),14,14
Y24H5940129,1,Frankston (C),4,4
Y24H5940130,1,Frankston (C),7,7
Y24H5940131,2,Frankston (C),15,15
Y24H5940135,2,Frankston (C),18,18
Y24H5940136,1,Frankston (C),4,4
Y24H5940137,2,Frankston (C),12,12
Y24H5940140,1,Frankston (C),12,12
Y24H5940203,1,Maroondah (C),7,7
Y24H5940204,1,Maroondah (C),12,12
Y24H5940205,1,Maroondah (C),17,17
Y24H5940206,1,Maroondah (C),13,13
Y24H5940212,1,Maroondah (C),7,7
Y24H5940214,3,Maroondah (C),8,8
Y24H5940215,1,Maroondah (C),11,11
Y24H5940217,2,Maroondah (C),15,15
Y24H5940218,1,Maroondah (C),4,4
Y24H5940219,1,Maroondah (C),17,17
Y24H5940220,4,Maroondah (C),14,14
Y24H5940222,4,Whitehorse (C),15,15
Y24H5940230,1,Whitehorse (C),3,3
Y24H5940231,2,Whitehorse (C),13,13
Y24H5940233,2,Whitehorse (C),14,14
Y24H5940234,2,Whitehorse (C),4,4
Y24H5940235,1,Whitehorse (C),12,12
Y24H5940236,1,Whitehorse (C),3,3
Y24H5940237,3,Whitehorse (C),18,18
Y24H5940239,1,Whitehorse (C),5,5
Y24H5940242,2,Whitehorse (C),12,12
Y24H5940403,2,Whittlesea (C),7,7
Y24H5940406,1,Whittlesea (C),2,2
Y24H5940407,2,Whittlesea (C),13,13
Y24H5940409,3,Whittlesea (C),14,14
Y24H5940411,5,Whittlesea (C),17,17
Y24H5940412,2,Whittlesea (C),10,10
Y24H5940417,2,Whittlesea (C),12,12
Y24H5940419,4,Whittlesea (C),19,19
Y24H5940422,1,Whittlesea (C),6,6
Y24H5940423,1,Whittlesea (C),4,4
Y24H5940425,0,Whittlesea (C),3,3
Y24H5940428,1,Whittlesea (C),6,6
Y24H5940429,1,Whittlesea (C),5,5
Y24H5940431,1,Whittlesea (C),1,1
Y24H5940433,1,Whittlesea (C),6,6
Y24H5940435,0,Whittlesea (C),2,2
Y24H5940436,1,Whittlesea (C),8,8
Y24H5940438,1,Whittlesea (C),10,10
Y24H5940439,1,Whittlesea (C),4,4
Y24H5940501,2,Macedon Ranges (S),14,14
Y24H5940502,2,Macedon Ranges (S),3,3
Y24H5940503,2,Macedon Ranges (S),17,17
Y24H5940505,3,Macedon Ranges (S),9,9
Y24H5940506,2,Macedon Ranges (S),18,18
Y24H5940507,2,Macedon Ranges (S),9,9
Y24H5940508,2,Macedon Ranges (S),10,10
Y24H5940512,4,Macedon Ranges (S),8,8
Y24H5940519,2,Macedon Ranges (S),10,10
Y24H5940520,2,Macedon Ranges (S),17,17
Y24H5940521,3,Macedon Ranges (S),12,12
Y24H5940522,2,Macedon Ranges (S),18,18
Y24H5940524,1,Macedon Ranges (S),7,7
Y24H5940525,2,Macedon Ranges (S),18,18
Y24H5940531,1,Macedon Ranges (S),11,11
Y24H5940532,1,Macedon Ranges (S),12,12
Y24H5940534,2,Macedon Ranges (S),14,14
Y24H5940536,2,Macedon Ranges (S),15,15
Y24H5940539,2,Macedon Ranges (S),11,11
Y24H5950201,4,Monash (C),8,8
Y24H5950204,2,Monash (C),13,13
Y24H5950207,3,Monash (C),14,14
Y24H5950208,3,Monash (C),14,14
Y24H5950209,2,Monash (C),14,14
Y24H5950211,0,Monash (C),2,2
Y24H5950213,2,Monash (C),12,12
Y24H5950215,1,Monash (C),12,12
Y24H5950216,3,Monash (C),17,17
Y24H5950217,2,Monash (C),12,12
Y24H5950218,2,Monash (C),9,9
Y24H5950219,3,Monash (C),8,8
Y24H5950224,1,Whitehorse (C),10,10
Y24H5950225,1,Whitehorse (C),12,12
Y24H5950226,1,Whitehorse (C),8,8
Y24H5950229,2,Whitehorse (C),9,9
Y24H5950230,1,Whitehorse (C),13,13
Y24H5950231,2,Whitehorse (C),8,8
Y24H5950232,1,Whitehorse (C),8,8
Y24H5950234,2,Whitehorse (C),16,16
Y24H5950235,2,Whitehorse (C),9,9
Y24H5950238,1,Whitehorse (C),5,5
Y24H5950241,2,Whitehorse (C),12,12
Y24H5950301,1,Melbourne (C),12,12
Y24H5950305,1,Melbourne (C),13,13
Y24H5950309,1,Melbourne (C),15,15
Y24H5950310,1,Melbourne (C),11,11
Y24H5950311,2,Melbourne (C),12,12
Y24H5950313,1,Melbourne (C),9,9
Y24H5950324,1,Moonee Valley (C),1,1
Y24H5950327,0,Moonee Valley (C),13,13
Y24H5950332,1,Moonee Valley (C),7,7
Y24H5950401,2,Banyule (C),14,14
Y24H5950402,2,Banyule (C),13,13
Y24H5950403,1,Banyule (C),6,6
Y24H5950407,3,Banyule (C),12,12
Y24H5950408,1,Banyule (C),8,8
Y24H5950411,2,Banyule (C),12,12
Y24H5950414,2,Banyule (C),8,8
Y24H5950415,2,Banyule (C),17,17
Y24H5950417,1,Banyule (C),7,7
Y24H5950421,1,Banyule (C),3,3
Y24H5950422,0,Banyule (C),4,4
Y24H5950424,2,Banyule (C),1,1
Y24H5950427,1,Banyule (C),8,8
Y24H5950430,2,Banyule (C),6,6
Y24H5950431,3,Banyule (C),17,17
Y24H5950433,3,Banyule (C),18,18
Y24H5950436,2,Banyule (C),10,10
Y24H5950438,2,Banyule (C),9,9
Y24H5950440,1,Banyule (C),6,6
Y24H5950442,2,Banyule (C),17,17
Y24H5950506,2,Wyndham (C),18,18
Y24H5950507,1,Wyndham (C),11,11
Y24H5950508,0,Wyndham (C),7,7
Y24H5950509,1,Wyndham (C),14,14
Y24H5950510,1,Wyndham (C),12,12
Y24H5950514,2,Wyndham (C),14,14
Y24H5950516,1,Wyndham (C),12,12
Y24H5950518,3,Wyndham (C),14,14
Y24H5950521,1,Wyndham (C),12,12
Y24H5950522,3,Wyndham (C),10,10
Y24H5950525,2,Wyndham (C),13,13
Y24H5950540,2,Wyndham (C),12,12
Y24H5970101,2,Casey (C),12,12
Y24H5970102,2,Casey (C),17,17
Y24H5970105,1,Casey (C),2,2
Y24H5970108,2,Casey (C),8,8
Y24H5970109,1,Casey (C),1,1
Y24H5970110,2,Casey (C),6,6
Y24H5970111,3,Casey (C),14,14
Y24H5970112,1,Casey (C),10,10
Y24H5970114,1,Casey (C),11,11
Y24H5970116,1,Casey (C),3,3
Y24H5970117,2,Casey (C),11,11
Y24H5970118,1,Casey (C),7,7
Y24H5970120,3,Casey (C),6,6
