hhid,hhsize,dwelltype,owndwell,totalbikes,totalvehs,travmonth,travdow,homelga,youngestgroup_5,aveagegroup_5,oldestgroup_5,homesubregion_ASGS,homeregion_ASGS,dayType,weekly_hhinc_group,annual_hhinc_group
Y24H5860337,3,Separate House,Fully Owned,2,3,October,Tuesday,Maribyrnong (C),5->9,35->39,50->54,MELB - Inner,Greater Melbourne,Weekday,12,12
Y24H5860339,1,"Unit, Flat or Apartment",Being Rented,Missing/Refused,0,October,Thursday,Maribyrnong (C),35->39,35->39,35->39,MELB - Inner,Greater Melbourne,Weekday,8,8
Y24H5860342,1,Terrace or Townhouse,Being Rented,0,1,October,Sunday,Maribyrnong (C),55->59,55->59,55->59,MELB - Inner,Greater Melbourne,Weekend,12,12
Y24H5860401,1,Terrace or Townhouse,Being Rented,0,1,October,Monday,Merri-bek (C),30->34,30->34,30->34,MELB - Inner,Greater Melbourne,Weekday,14,14
Y24H5860406,2,Terrace or Townhouse,Being Rented,0,2,October,Saturday,Merri-bek (C),25->29,25->29,25->29,MELB - Inner,Greater Melbourne,Weekend,14,14
Y24H5860407,4,Separate House,Being Rented,4,2,October,Sunday,Merri-bek (C),10->14,30->34,45->49,MELB - Inner,Greater Melbourne,Weekend,15,15
Y24H5860413,3,Separate House,Being Rented,5,3,October,Saturday,Merri-bek (C),5->9,25->29,35->39,MELB - Inner,Greater Melbourne,Weekend,15,15
Y24H5860415,5,Separate House,Fully Owned,5,6,October,Monday,Merri-bek (C),10->14,30->34,60->64,MELB - Inner,Greater Melbourne,Weekday,15,15
Y24H5860420,1,Terrace or Townhouse,Occupied Rent-Free,1,2,October,Saturday,Merri-bek (C),50->54,50->54,50->54,MELB - Inner,Greater Melbourne,Weekend,10,10
Y24H5860421,3,Separate House,Being Rented,4,0,October,Sunday,Merri-bek (C),25->29,35->39,50->54,MELB - Inner,Greater Melbourne,Weekend,12,12
Y24H5860425,3,"Unit, Flat or Apartment",Being Rented,0,0,October,Thursday,Merri-bek (C),5->9,25->29,35->39,MELB - Inner,Greater Melbourne,Weekday,12,12
Y24H5860432,4,Terrace or Townhouse,Being Purchased,2,1,October,Thursday,Merri-bek (C),0->4,20->24,40->44,MELB - Inner,Greater Melbourne,Weekday,6,6
Y24H5860434,2,Separate House,Fully Owned,0,0,October,Saturday,Merri-bek (C),45->49,50->54,50->54,MELB - Inner,Greater Melbourne,Weekend,10,10
Y24H5860438,1,"Unit, Flat or Apartment",Being Purchased,1,0,October,Wednesday,Merri-bek (C),45->49,45->49,45->49,MELB - Inner,Greater Melbourne,Weekday,9,9
Y24H5860439,1,Terrace or Townhouse,Being Purchased,0,1,October,Thursday,Merri-bek (C),40->44,40->44,40->44,MELB - Inner,Greater Melbourne,Weekday,14,14
Y24H5860441,2,Terrace or Townhouse,Being Purchased,0,1,October,Saturday,Merri-bek (C),0->4,15->19,35->39,MELB - Inner,Greater Melbourne,Weekend,12,12
Y24H5870102,3,Separate House,Being Purchased,Missing/Refused,3,October,Tuesday,Greater Dandenong (C),25->29,50->54,65->69,MELB - Middle,Greater Melbourne,Weekday,5,5
Y24H5870105,2,Separate House,Fully Owned,0,2,October,Friday,Greater Dandenong (C),60->64,65->69,70->74,MELB - Middle,Greater Melbourne,Weekday,8,8
Y24H5870108,3,Separate House,Fully Owned,0,3,October,Monday,Greater Dandenong (C),25->29,45->49,55->59,MELB - Middle,Greater Melbourne,Weekday,12,12
Y24H5870111,2,Separate House,Fully Owned,0,2,October,Thursday,Greater Dandenong (C),60->64,60->64,65->69,MELB - Middle,Greater Melbourne,Weekday,18,18
Y24H5870112,2,Separate House,Fully Owned,0,1,October,Friday,Greater Dandenong (C),25->29,40->44,55->59,MELB - Middle,Greater Melbourne,Weekday,9,9
Y24H5870113,3,Terrace or Townhouse,Occupied Rent-Free,0,2,October,Saturday,Greater Dandenong (C),0->4,20->24,30->34,MELB - Middle,Greater Melbourne,Weekend,14,14
Y24H5870115,5,Separate House,Being Purchased,3,3,October,Monday,Greater Dandenong (C),5->9,30->34,65->69,MELB - Middle,Greater Melbourne,Weekday,12,12
Y24H5870116,4,Separate House,Being Purchased,2,2,October,Tuesday,Greater Dandenong (C),5->9,30->34,50->54,MELB - Middle,Greater Melbourne,Weekday,14,14
Y24H5870122,3,Separate House,Being Purchased,2,2,October,Monday,Kingston (C),5->9,30->34,45->49,MELB - Middle,Greater Melbourne,Weekday,15,15
Y24H5870124,2,Separate House,Fully Owned,0,2,October,Wednesday,Kingston (C),75->79,75->79,80->84,MELB - Middle,Greater Melbourne,Weekday,7,7
Y24H5870126,1,"Unit, Flat or Apartment",Fully Owned,0,1,October,Friday,Kingston (C),75->79,75->79,75->79,MELB - Middle,Greater Melbourne,Weekday,3,3
Y24H5870128,4,Terrace or Townhouse,Being Purchased,4,2,October,Sunday,Kingston (C),5->9,25->29,50->54,MELB - Middle,Greater Melbourne,Weekend,9,9
Y24H5870131,1,"Unit, Flat or Apartment",Being Rented,0,1,October,Wednesday,Kingston (C),80->84,80->84,80->84,MELB - Middle,Greater Melbourne,Weekday,4,4
Y24H5870133,1,"Unit, Flat or Apartment",Fully Owned,0,1,October,Friday,Kingston (C),75->79,75->79,75->79,MELB - Middle,Greater Melbourne,Weekday,2,2
Y24H5870134,3,Terrace or Townhouse,Being Purchased,3,1,October,Saturday,Kingston (C),5->9,25->29,40->44,MELB - Middle,Greater Melbourne,Weekend,12,12
Y24H5870140,2,Terrace or Townhouse,Fully Owned,0,2,October,Friday,Kingston (C),65->69,65->69,65->69,MELB - Middle,Greater Melbourne,Weekday,8,8
Y24H5870141,1,"Unit, Flat or Apartment",Being Purchased,1,1,October,Saturday,Kingston (C),55->59,55->59,55->59,MELB - Middle,Greater Melbourne,Weekend,7,7
Y24H5870302,4,Separate House,Fully Owned,0,2,October,Tuesday,Boroondara (C),15->19,55->59,80->84,MELB - Middle,Greater Melbourne,Weekday,10,10
Y24H5870303,5,Separate House,Being Rented,4,2,October,Wednesday,Boroondara (C),10->14,25->29,45->49,MELB - Middle,Greater Melbourne,Weekday,14,14
Y24H5870304,4,Separate House,Being Purchased,3,2,October,Thursday,Boroondara (C),0->4,20->24,35->39,MELB - Middle,Greater Melbourne,Weekday,14,14
Y24H5870306,2,Separate House,Being Purchased,0,1,October,Saturday,Boroondara (C),15->19,30->34,50->54,MELB - Middle,Greater Melbourne,Weekend,6,6
Y24H5870308,2,Separate House,Fully Owned,Missing/Refused,2,October,Monday,Boroondara (C),70->74,70->74,70->74,MELB - Middle,Greater Melbourne,Weekday,7,7
Y24H5870310,3,Separate House,Fully Owned,2,1,October,Wednesday,Boroondara (C),60->64,80->84,90->94,MELB - Middle,Greater Melbourne,Weekday,3,3
Y24H5870311,2,Separate House,Fully Owned,0,1,October,Thursday,Boroondara (C),65->69,65->69,70->74,MELB - Middle,Greater Melbourne,Weekday,12,12
Y24H5870313,2,Separate House,Fully Owned,1,2,October,Saturday,Boroondara (C),75->79,75->79,75->79,MELB - Middle,Greater Melbourne,Weekend,11,11
Y24H5870314,1,Separate House,Fully Owned,0,2,October,Sunday,Boroondara (C),50->54,50->54,50->54,MELB - Middle,Greater Melbourne,Weekend,4,4
Y24H5870315,1,"Unit, Flat or Apartment",Fully Owned,0,1,October,Monday,Boroondara (C),75->79,75->79,75->79,MELB - Middle,Greater Melbourne,Weekday,8,8
Y24H5870316,3,Separate House,Fully Owned,Missing/Refused,2,October,Tuesday,Boroondara (C),30->34,50->54,60->64,MELB - Middle,Greater Melbourne,Weekday,16,16
Y24H5870318,1,Separate House,Fully Owned,1,1,October,Thursday,Boroondara (C),80->84,80->84,80->84,MELB - Middle,Greater Melbourne,Weekday,5,5
Y24H5870323,2,"Unit, Flat or Apartment",Occupied Rent-Free,0,2,October,Tuesday,Boroondara (C),25->29,25->29,25->29,MELB - Middle,Greater Melbourne,Weekday,16,16
Y24H5870324,2,Separate House,Being Rented,0,2,October,Wednesday,Boroondara (C),50->54,70->74,85->89,MELB - Middle,Greater Melbourne,Weekday,9,9
Y24H5870329,1,Separate House,Fully Owned,4,2,October,Monday,Boroondara (C),70->74,70->74,70->74,MELB - Middle,Greater Melbourne,Weekday,9,9
Y24H5870336,2,"Unit, Flat or Apartment",Being Rented,Missing/Refused,2,October,Monday,Boroondara (C),30->34,30->34,35->39,MELB - Middle,Greater Melbourne,Weekday,13,13
Y24H5870338,2,Separate House,Fully Owned,6,2,October,Wednesday,Boroondara (C),70->74,70->74,70->74,MELB - Middle,Greater Melbourne,Weekday,13,13
Y24H5870339,2,"Unit, Flat or Apartment",Fully Owned,2,1,October,Thursday,Boroondara (C),65->69,70->74,75->79,MELB - Middle,Greater Melbourne,Weekday,8,8
Y24H5870341,3,"Unit, Flat or Apartment",Being Rented,0,1,October,Saturday,Boroondara (C),10->14,30->34,45->49,MELB - Middle,Greater Melbourne,Weekend,14,14
Y24H5870401,1,"Unit, Flat or Apartment",Being Rented,Missing/Refused,1,October,Monday,Darebin (C),45->49,45->49,45->49,MELB - Middle,Greater Melbourne,Weekday,8,8
Y24H5870402,1,"Unit, Flat or Apartment",Fully Owned,0,1,October,Tuesday,Darebin (C),35->39,35->39,35->39,MELB - Middle,Greater Melbourne,Weekday,10,10
Y24H5870405,1,"Unit, Flat or Apartment",Being Purchased,1,1,October,Friday,Darebin (C),50->54,50->54,50->54,MELB - Middle,Greater Melbourne,Weekday,12,12
Y24H5870407,1,"Unit, Flat or Apartment",Being Rented,Missing/Refused,1,October,Sunday,Darebin (C),25->29,25->29,25->29,MELB - Middle,Greater Melbourne,Weekend,6,6
Y24H5870408,2,Separate House,Being Rented,0,2,October,Monday,Darebin (C),30->34,30->34,30->34,MELB - Middle,Greater Melbourne,Weekday,11,11
Y24H5870409,2,Separate House,Being Rented,Missing/Refused,4,October,Tuesday,Darebin (C),30->34,35->39,35->39,MELB - Middle,Greater Melbourne,Weekday,8,8
Y24H5870411,1,"Unit, Flat or Apartment",Fully Owned,Missing/Refused,1,October,Thursday,Darebin (C),35->39,35->39,35->39,MELB - Middle,Greater Melbourne,Weekday,5,5
Y24H5870412,3,Separate House,Being Rented,2,3,October,Friday,Darebin (C),15->19,40->44,55->59,MELB - Middle,Greater Melbourne,Weekday,16,16
Y24H5870413,2,"Unit, Flat or Apartment",Being Rented,1,3,October,Saturday,Darebin (C),25->29,25->29,25->29,MELB - Middle,Greater Melbourne,Weekend,14,14
Y24H5870414,4,Separate House,Being Purchased,2,2,October,Sunday,Darebin (C),5->9,25->29,50->54,MELB - Middle,Greater Melbourne,Weekend,10,10
Y24H5870415,1,Separate House,Occupied Rent-Free,0,0,October,Monday,Darebin (C),55->59,55->59,55->59,MELB - Middle,Greater Melbourne,Weekday,4,4
Y24H5870417,4,Separate House,Being Purchased,4,3,October,Wednesday,Darebin (C),5->9,25->29,45->49,MELB - Middle,Greater Melbourne,Weekday,14,14
Y24H5870418,1,"Unit, Flat or Apartment",Being Rented,1,1,October,Thursday,Darebin (C),50->54,50->54,50->54,MELB - Middle,Greater Melbourne,Weekday,9,9
Y24H5870422,2,Separate House,Being Purchased,2,2,October,Monday,Darebin (C),40->44,40->44,40->44,MELB - Middle,Greater Melbourne,Weekday,13,13
Y24H5870426,4,"Unit, Flat or Apartment",Being Purchased,3,1,October,Friday,Darebin (C),10->14,25->29,40->44,MELB - Middle,Greater Melbourne,Weekday,13,13
Y24H5870427,2,"Unit, Flat or Apartment",Being Rented,0,1,October,Saturday,Darebin (C),35->39,35->39,35->39,MELB - Middle,Greater Melbourne,Weekend,14,14
Y24H5870428,2,"Unit, Flat or Apartment",Being Rented,0,1,October,Sunday,Darebin (C),20->24,20->24,20->24,MELB - Middle,Greater Melbourne,Weekend,5,5
Y24H5870430,1,"Unit, Flat or Apartment",Being Rented,0,0,October,Tuesday,Darebin (C),40->44,40->44,40->44,MELB - Middle,Greater Melbourne,Weekday,12,12
Y24H5870432,1,Terrace or Townhouse,Being Purchased,0,1,October,Thursday,Darebin (C),45->49,45->49,45->49,MELB - Middle,Greater Melbourne,Weekday,12,12
Y24H5870436,2,Terrace or Townhouse,Being Rented,1,1,October,Monday,Darebin (C),35->39,50->54,60->64,MELB - Middle,Greater Melbourne,Weekday,10,10
Y24H5870442,2,Separate House,Fully Owned,Missing/Refused,2,October,Sunday,Darebin (C),60->64,60->64,60->64,MELB - Middle,Greater Melbourne,Weekend,13,13
Y24H5870502,1,Separate House,Being Rented,0,1,October,Tuesday,Wyndham (C),55->59,55->59,55->59,MELB - Outer,Greater Melbourne,Weekday,3,3
Y24H5870504,4,"Unit, Flat or Apartment",Being Rented,0,1,October,Thursday,Wyndham (C),25->29,25->29,30->34,MELB - Outer,Greater Melbourne,Weekday,8,8
Y24H5870507,4,Separate House,Being Rented,2,1,October,Sunday,Wyndham (C),10->14,30->34,45->49,MELB - Outer,Greater Melbourne,Weekend,8,8
Y24H5870510,2,Separate House,Being Rented,Missing/Refused,1,October,Wednesday,Wyndham (C),35->39,40->44,45->49,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H5870516,4,"Unit, Flat or Apartment",Being Rented,0,1,October,Tuesday,Wyndham (C),0->4,15->19,35->39,MELB - Outer,Greater Melbourne,Weekday,8,8
Y24H5870517,1,"Unit, Flat or Apartment",Being Purchased,0,1,October,Wednesday,Wyndham (C),30->34,30->34,30->34,MELB - Outer,Greater Melbourne,Weekday,8,8
Y24H5870518,1,"Unit, Flat or Apartment",Being Rented,0,0,October,Thursday,Wyndham (C),60->64,60->64,60->64,MELB - Outer,Greater Melbourne,Weekday,5,5
Y24H5870522,3,Separate House,Being Purchased,0,2,October,Monday,Wyndham (C),10->14,30->34,40->44,MELB - Outer,Greater Melbourne,Weekday,7,7
Y24H5870524,4,Separate House,Being Rented,2,0,October,Wednesday,Wyndham (C),0->4,20->24,40->44,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H5870525,1,Terrace or Townhouse,Being Purchased,Missing/Refused,1,October,Thursday,Wyndham (C),60->64,60->64,60->64,MELB - Outer,Greater Melbourne,Weekday,6,6
Y24H5870528,4,Separate House,Being Rented,3,1,October,Sunday,Wyndham (C),0->4,20->24,35->39,MELB - Outer,Greater Melbourne,Weekend,15,15
Y24H5870531,3,Separate House,Being Purchased,0,2,October,Wednesday,Wyndham (C),5->9,25->29,35->39,MELB - Outer,Greater Melbourne,Weekday,14,14
Y24H5870537,6,Separate House,Being Purchased,0,2,October,Tuesday,Wyndham (C),0->4,20->24,40->44,MELB - Outer,Greater Melbourne,Weekday,7,7
Y24H5880103,1,"Unit, Flat or Apartment",Fully Owned,1,1,November,Wednesday,Cardinia (S),30->34,30->34,30->34,MELB - Outer,Greater Melbourne,Weekday,8,8
Y24H5880104,4,Terrace or Townhouse,Being Purchased,3,2,November,Thursday,Cardinia (S),5->9,25->29,40->44,MELB - Outer,Greater Melbourne,Weekday,11,11
Y24H5880107,1,Separate House,Fully Owned,0,1,November,Sunday,Cardinia (S),65->69,65->69,65->69,MELB - Outer,Greater Melbourne,Weekend,6,6
Y24H5880112,2,Separate House,Fully Owned,1,1,November,Friday,Cardinia (S),65->69,65->69,65->69,MELB - Outer,Greater Melbourne,Weekday,14,14
Y24H5880114,3,Separate House,Being Purchased,0,2,November,Sunday,Cardinia (S),0->4,20->24,30->34,MELB - Outer,Greater Melbourne,Weekend,11,11
Y24H5880115,1,Separate House,Fully Owned,0,1,October,Monday,Cardinia (S),65->69,65->69,65->69,MELB - Outer,Greater Melbourne,Weekday,8,8
Y24H5880116,4,Separate House,Being Purchased,4,2,October,Tuesday,Cardinia (S),10->14,25->29,45->49,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H5880117,3,Separate House,Being Purchased,0,2,November,Wednesday,Cardinia (S),10->14,30->34,45->49,MELB - Outer,Greater Melbourne,Weekday,17,17
Y24H5880118,2,Separate House,Fully Owned,0,1,November,Thursday,Cardinia (S),70->74,70->74,70->74,MELB - Outer,Greater Melbourne,Weekday,8,8
Y24H5880123,3,Separate House,Fully Owned,6,1,October,Tuesday,Cardinia (S),35->39,55->59,65->69,MELB - Outer,Greater Melbourne,Weekday,9,9
Y24H5880124,1,"Unit, Flat or Apartment",Being Rented,0,1,November,Wednesday,Cardinia (S),65->69,65->69,65->69,MELB - Outer,Greater Melbourne,Weekday,1,1
Y24H5880131,2,Separate House,Being Rented,1,3,November,Wednesday,Cardinia (S),50->54,50->54,50->54,MELB - Outer,Greater Melbourne,Weekday,10,10
Y24H5880142,2,Separate House,Fully Owned,0,2,November,Sunday,Cardinia (S),70->74,70->74,75->79,MELB - Outer,Greater Melbourne,Weekend,10,10
Y24H5880201,1,"Unit, Flat or Apartment",Being Rented,0,1,October,Monday,Yarra Ranges (S),55->59,55->59,55->59,MELB - Outer,Greater Melbourne,Weekday,6,6
Y24H5880202,2,Separate House,Being Purchased,1,1,October,Tuesday,Yarra Ranges (S),35->39,35->39,35->39,MELB - Outer,Greater Melbourne,Weekday,15,15
Y24H5880204,6,Separate House,Fully Owned,2,2,November,Thursday,Yarra Ranges (S),0->4,30->34,60->64,MELB - Outer,Greater Melbourne,Weekday,16,16
Y24H5880205,2,"Unit, Flat or Apartment",Fully Owned,0,2,November,Friday,Yarra Ranges (S),35->39,55->59,70->74,MELB - Outer,Greater Melbourne,Weekday,13,13
Y24H5880206,3,Separate House,Fully Owned,2,3,November,Saturday,Yarra Ranges (S),20->24,30->34,55->59,MELB - Outer,Greater Melbourne,Weekend,6,6
Y24H5880207,1,"Unit, Flat or Apartment",Fully Owned,0,1,November,Sunday,Yarra Ranges (S),70->74,70->74,70->74,MELB - Outer,Greater Melbourne,Weekend,4,4
Y24H5880208,1,"Unit, Flat or Apartment",Fully Owned,0,0,October,Monday,Yarra Ranges (S),80->84,80->84,80->84,MELB - Outer,Greater Melbourne,Weekday,4,4
Y24H5880209,3,Separate House,Fully Owned,Missing/Refused,1,October,Tuesday,Yarra Ranges (S),10->14,25->29,50->54,MELB - Outer,Greater Melbourne,Weekday,6,6
Y24H5880210,2,Separate House,Fully Owned,0,2,November,Wednesday,Yarra Ranges (S),70->74,70->74,75->79,MELB - Outer,Greater Melbourne,Weekday,6,6
Y24H5880212,3,Separate House,Fully Owned,0,3,November,Friday,Yarra Ranges (S),40->44,60->64,70->74,MELB - Outer,Greater Melbourne,Weekday,5,5
Y24H5880213,4,Separate House,Being Purchased,1,2,November,Saturday,Yarra Ranges (S),15->19,35->39,55->59,MELB - Outer,Greater Melbourne,Weekend,10,10
Y24H5880214,1,"Unit, Flat or Apartment",Fully Owned,0,0,November,Sunday,Yarra Ranges (S),70->74,70->74,70->74,MELB - Outer,Greater Melbourne,Weekend,8,8
Y24H5880216,1,Separate House,Fully Owned,0,1,October,Tuesday,Yarra Ranges (S),70->74,70->74,70->74,MELB - Outer,Greater Melbourne,Weekday,1,1
Y24H5880218,1,"Unit, Flat or Apartment",Being Rented,0,1,November,Thursday,Yarra Ranges (S),70->74,70->74,70->74,MELB - Outer,Greater Melbourne,Weekday,5,5
Y24H5880219,4,Separate House,Being Purchased,2,1,November,Friday,Yarra Ranges (S),15->19,30->34,50->54,MELB - Outer,Greater Melbourne,Weekday,16,16
Y24H5880220,2,Separate House,Being Purchased,2,2,November,Saturday,Yarra Ranges (S),30->34,30->34,30->34,MELB - Outer,Greater Melbourne,Weekend,13,13
Y24H5880221,2,Separate House,Fully Owned,2,2,November,Sunday,Yarra Ranges (S),55->59,55->59,60->64,MELB - Outer,Greater Melbourne,Weekend,16,16
Y24H5880222,1,Separate House,Being Purchased,2,3,October,Monday,Yarra Ranges (S),45->49,45->49,45->49,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H5880223,3,Separate House,Being Purchased,0,2,October,Tuesday,Yarra Ranges (S),25->29,40->44,50->54,MELB - Outer,Greater Melbourne,Weekday,11,11
Y24H5880224,3,Separate House,Being Purchased,Missing/Refused,1,November,Wednesday,Yarra Ranges (S),15->19,30->34,55->59,MELB - Outer,Greater Melbourne,Weekday,10,10
Y24H5880225,4,Separate House,Being Purchased,1,2,November,Thursday,Yarra Ranges (S),0->4,20->24,35->39,MELB - Outer,Greater Melbourne,Weekday,13,13
Y24H5880232,4,Separate House,Being Purchased,3,2,November,Thursday,Yarra Ranges (S),5->9,20->24,40->44,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H5880233,1,Separate House,Fully Owned,0,1,November,Friday,Yarra Ranges (S),40->44,40->44,40->44,MELB - Outer,Greater Melbourne,Weekday,13,13
Y24H5880234,2,Separate House,Fully Owned,2,1,November,Saturday,Yarra Ranges (S),60->64,75->79,85->89,MELB - Outer,Greater Melbourne,Weekend,6,6
Y24H5880235,2,Separate House,Being Purchased,0,3,November,Sunday,Yarra Ranges (S),40->44,40->44,40->44,MELB - Outer,Greater Melbourne,Weekend,17,17
Y24H5880237,6,Separate House,Being Rented,1,1,October,Tuesday,Yarra Ranges (S),5->9,20->24,40->44,MELB - Outer,Greater Melbourne,Weekday,6,6
Y24H5880239,2,Separate House,Being Purchased,2,3,November,Thursday,Yarra Ranges (S),30->34,30->34,30->34,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H5880504,6,"Unit, Flat or Apartment",Being Rented,2,2,November,Thursday,Hobsons Bay (C),0->4,15->19,40->44,MELB - Middle,Greater Melbourne,Weekday,8,8
Y24H5880509,2,Separate House,Being Purchased,1,2,October,Tuesday,Hobsons Bay (C),25->29,25->29,25->29,MELB - Middle,Greater Melbourne,Weekday,17,17
Y24H5880511,2,Separate House,Fully Owned,0,1,November,Thursday,Hobsons Bay (C),80->84,80->84,85->89,MELB - Middle,Greater Melbourne,Weekday,6,6
Y24H5880512,4,Terrace or Townhouse,Fully Owned,2,2,November,Friday,Hobsons Bay (C),0->4,20->24,35->39,MELB - Middle,Greater Melbourne,Weekday,17,17
Y24H5880516,2,Separate House,Fully Owned,0,1,October,Tuesday,Hobsons Bay (C),80->84,80->84,80->84,MELB - Middle,Greater Melbourne,Weekday,5,5
Y24H5880517,2,Terrace or Townhouse,Being Rented,1,3,November,Wednesday,Hobsons Bay (C),30->34,30->34,30->34,MELB - Middle,Greater Melbourne,Weekday,12,12
Y24H5880518,3,Terrace or Townhouse,Being Purchased,0,2,November,Thursday,Hobsons Bay (C),0->4,25->29,40->44,MELB - Middle,Greater Melbourne,Weekday,14,14
Y24H5880520,2,Separate House,Being Purchased,0,2,November,Saturday,Hobsons Bay (C),25->29,25->29,25->29,MELB - Middle,Greater Melbourne,Weekend,17,17
Y24H5880521,2,Separate House,Fully Owned,0,1,November,Sunday,Hobsons Bay (C),85->89,85->89,85->89,MELB - Middle,Greater Melbourne,Weekend,6,6
Y24H5880522,2,Terrace or Townhouse,Being Purchased,1,1,October,Monday,Hobsons Bay (C),65->69,65->69,65->69,MELB - Middle,Greater Melbourne,Weekday,16,16
Y24H5880523,3,Terrace or Townhouse,Being Purchased,1,2,October,Tuesday,Hobsons Bay (C),15->19,40->44,50->54,MELB - Middle,Greater Melbourne,Weekday,12,12
Y24H5880526,3,Separate House,Fully Owned,0,3,November,Friday,Hobsons Bay (C),60->64,70->74,90->94,MELB - Middle,Greater Melbourne,Weekday,9,9
Y24H5880532,3,Separate House,Being Purchased,Missing/Refused,2,November,Thursday,Hobsons Bay (C),0->4,20->24,30->34,MELB - Middle,Greater Melbourne,Weekday,18,18
Y24H5880534,2,Separate House,Fully Owned,2,2,November,Saturday,Hobsons Bay (C),70->74,75->79,75->79,MELB - Middle,Greater Melbourne,Weekend,5,5
Y24H5880535,3,Separate House,Fully Owned,0,2,November,Sunday,Hobsons Bay (C),30->34,50->54,60->64,MELB - Middle,Greater Melbourne,Weekend,18,18
Y24H5880537,3,Separate House,Being Purchased,2,2,October,Tuesday,Hobsons Bay (C),40->44,60->64,75->79,MELB - Middle,Greater Melbourne,Weekday,14,14
Y24H5880540,4,Separate House,Being Purchased,2,10,November,Friday,Hobsons Bay (C),20->24,40->44,55->59,MELB - Middle,Greater Melbourne,Weekday,14,14
Y24H5880541,4,Separate House,Being Purchased,4,2,November,Saturday,Hobsons Bay (C),5->9,25->29,45->49,MELB - Middle,Greater Melbourne,Weekend,18,18
Y24H5890102,1,"Unit, Flat or Apartment",Being Rented,0,1,November,Tuesday,Mornington Peninsula (S),45->49,45->49,45->49,MELB - Outer,Greater Melbourne,Weekday,8,8
Y24H5890104,2,Terrace or Townhouse,Fully Owned,0,1,November,Thursday,Mornington Peninsula (S),80->84,80->84,85->89,MELB - Outer,Greater Melbourne,Weekday,6,6
Y24H5890105,1,"Unit, Flat or Apartment",Fully Owned,0,1,November,Friday,Mornington Peninsula (S),65->69,65->69,65->69,MELB - Outer,Greater Melbourne,Weekday,6,6
Y24H5890106,3,Terrace or Townhouse,Fully Owned,2,3,November,Saturday,Mornington Peninsula (S),20->24,50->54,65->69,MELB - Outer,Greater Melbourne,Weekend,16,16
Y24H5890107,1,Separate House,Fully Owned,0,1,November,Sunday,Mornington Peninsula (S),75->79,75->79,75->79,MELB - Outer,Greater Melbourne,Weekend,4,4
Y24H5890109,2,Terrace or Townhouse,Fully Owned,3,2,November,Tuesday,Mornington Peninsula (S),65->69,65->69,65->69,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H5890113,1,"Unit, Flat or Apartment",Being Purchased,4,1,November,Saturday,Mornington Peninsula (S),70->74,70->74,70->74,MELB - Outer,Greater Melbourne,Weekend,10,10
Y24H5890114,2,Separate House,Being Purchased,3,1,November,Sunday,Mornington Peninsula (S),35->39,45->49,60->64,MELB - Outer,Greater Melbourne,Weekend,13,13
Y24H5890118,3,Separate House,Being Purchased,Missing/Refused,3,November,Thursday,Mornington Peninsula (S),20->24,45->49,55->59,MELB - Outer,Greater Melbourne,Weekday,14,14
Y24H5890121,2,Separate House,Fully Owned,1,1,November,Sunday,Mornington Peninsula (S),75->79,75->79,75->79,MELB - Outer,Greater Melbourne,Weekend,8,8
Y24H5890122,2,Separate House,Fully Owned,1,3,November,Monday,Mornington Peninsula (S),20->24,40->44,60->64,MELB - Outer,Greater Melbourne,Weekday,14,14
Y24H5890126,1,Separate House,Fully Owned,0,1,November,Friday,Mornington Peninsula (S),80->84,80->84,80->84,MELB - Outer,Greater Melbourne,Weekday,6,6
Y24H5890127,3,Terrace or Townhouse,Occupied Rent-Free,0,1,November,Saturday,Mornington Peninsula (S),0->4,30->34,45->49,MELB - Outer,Greater Melbourne,Weekend,18,18
Y24H5890129,3,Separate House,Being Purchased,0,3,November,Monday,Mornington Peninsula (S),20->24,35->39,55->59,MELB - Outer,Greater Melbourne,Weekday,12,12
Y24H5890132,2,Separate House,Fully Owned,3,2,November,Thursday,Mornington Peninsula (S),70->74,70->74,75->79,MELB - Outer,Greater Melbourne,Weekday,8,8
Y24H5890133,4,Separate House,Fully Owned,Missing/Refused,3,November,Friday,Mornington Peninsula (S),15->19,35->39,50->54,MELB - Outer,Greater Melbourne,Weekday,18,18
Y24H5890137,1,"Unit, Flat or Apartment",Being Rented,0,0,November,Tuesday,Mornington Peninsula (S),60->64,60->64,60->64,MELB - Outer,Greater Melbourne,Weekday,1,1
Y24H5890138,2,Separate House,Fully Owned,0,1,November,Wednesday,Mornington Peninsula (S),70->74,70->74,70->74,MELB - Outer,Greater Melbourne,Weekday,15,15
Y24H5890142,1,Terrace or Townhouse,Being Purchased,2,1,November,Sunday,Mornington Peninsula (S),50->54,50->54,50->54,MELB - Outer,Greater Melbourne,Weekend,7,7
Y24H5890201,3,Separate House,Being Rented,0,1,November,Monday,Monash (C),0->4,15->19,20->24,MELB - Middle,Greater Melbourne,Weekday,7,7
Y24H5890202,3,Separate House,Being Rented,0,2,November,Tuesday,Monash (C),25->29,30->34,35->39,MELB - Middle,Greater Melbourne,Weekday,8,8
